Date,SPX Open,SPX Low,SPX High,SPX Close
01/04/1993,451.67,449.60,452.63,450.30
31/03/1993,451.97,451.67,454.88,451.67
30/03/1993,450.79,449.63,452.06,451.97
29/03/1993,447.76,447.75,452.81,450.77
26/03/1993,450.91,447.69,452.09,447.78
25/03/1993,448.09,447.93,451.75,450.88
24/03/1993,448.71,446.10,450.90,448.07
23/03/1993,448.88,448.30,449.80,448.76
22/03/1993,450.17,446.08,450.18,448.88
19/03/1993,451.90,449.91,453.32,450.18
18/03/1993,448.31,448.31,452.39,451.89
17/03/1993,451.36,447.99,451.37,448.31
16/03/1993,451.43,451.01,452.36,451.37
15/03/1993,449.83,449.40,451.43,451.43
12/03/1993,453.70,447.04,453.72,449.83
11/03/1993,456.35,453.48,456.76,453.72
10/03/1993,454.40,452.70,456.34,456.33
09/03/1993,454.67,453.68,455.52,454.40
08/03/1993,446.11,446.10,454.71,454.71
05/03/1993,447.34,445.56,449.59,446.11
04/03/1993,449.26,446.72,449.52,447.34
03/03/1993,447.89,447.73,450.00,449.26
02/03/1993,442.00,441.07,447.91,447.90
01/03/1993,443.40,441.34,444.18,442.01
26/02/1993,442.34,440.98,443.77,443.38
25/02/1993,440.70,439.66,442.34,442.34
24/02/1993,434.76,434.68,440.87,440.87
23/02/1993,435.34,432.41,436.84,434.80
22/02/1993,434.21,433.53,436.49,435.24
19/02/1993,431.93,431.68,434.26,434.22
18/02/1993,435.90,428.25,437.79,431.90
17/02/1993,433.93,430.92,433.97,433.30
16/02/1993,444.53,433.47,444.58,433.91
12/02/1993,447.64,444.58,447.70,444.58
11/02/1993,446.21,446.21,449.36,447.66
10/02/1993,445.33,444.24,446.37,446.23
09/02/1993,448.04,444.52,448.04,445.33
08/02/1993,448.94,447.70,450.04,447.85
05/02/1993,449.50,446.95,449.56,448.93
04/02/1993,447.24,447.20,449.86,449.56
03/02/1993,442.57,442.56,447.35,447.20
02/02/1993,442.52,440.76,442.87,442.56
01/02/1993,438.79,438.78,442.52,442.52
29/01/1993,438.67,436.91,438.93,438.78
28/01/1993,438.13,437.30,439.14,438.66
27/01/1993,439.95,436.82,440.04,438.11
26/01/1993,440.05,439.54,442.66,439.95
25/01/1993,436.11,436.11,440.53,440.01
22/01/1993,435.49,435.49,437.82,436.11
21/01/1993,433.37,432.48,435.75,435.49
20/01/1993,435.14,433.37,436.23,433.37
19/01/1993,436.84,434.59,437.70,435.13
18/01/1993,437.13,435.92,437.15,436.84
15/01/1993,435.87,435.84,439.49,437.15
14/01/1993,433.08,433.03,435.96,435.94
13/01/1993,431.03,429.99,433.44,433.03
12/01/1993,430.95,428.19,431.39,431.04
11/01/1993,429.04,429.01,431.04,430.95
08/01/1993,430.72,426.88,430.73,429.05
07/01/1993,434.53,429.78,435.46,430.73
06/01/1993,434.34,432.52,435.17,434.52
05/01/1993,435.33,433.55,435.40,434.34
04/01/1993,435.70,434.48,437.32,435.38
31/12/1992,438.88,435.71,439.59,435.71
30/12/1992,437.98,437.12,439.37,438.82
29/12/1992,439.15,437.60,442.65,437.98
28/12/1992,439.77,437.26,439.77,439.15
24/12/1992,439.03,439.03,439.81,439.77
23/12/1992,440.29,439.03,441.11,439.03
22/12/1992,440.70,438.25,441.64,440.31
21/12/1992,441.26,439.65,441.28,440.70
18/12/1992,435.46,435.43,441.29,441.28
17/12/1992,431.52,431.46,435.44,435.43
16/12/1992,432.58,430.88,434.22,431.52
15/12/1992,432.82,431.92,433.66,432.57
14/12/1992,433.73,432.83,435.26,432.84
11/12/1992,434.55,433.34,434.64,433.73
10/12/1992,435.66,432.65,435.66,434.64
09/12/1992,436.99,433.98,436.99,435.65
08/12/1992,435.31,434.65,436.99,436.99
07/12/1992,432.06,432.06,435.31,435.31
04/12/1992,429.93,429.74,432.89,432.06
03/12/1992,429.98,428.80,430.99,429.91
02/12/1992,430.78,428.61,430.87,429.89
01/12/1992,431.36,429.07,431.47,430.78
30/11/1992,430.19,429.36,431.53,431.35
27/11/1992,429.17,429.17,431.93,430.16
25/11/1992,427.59,427.58,429.41,429.19
24/11/1992,425.14,424.83,429.31,427.59
23/11/1992,426.62,424.95,426.65,425.12
20/11/1992,423.61,423.61,426.98,426.65
19/11/1992,422.86,422.50,423.61,423.61
18/11/1992,419.27,419.24,423.49,422.85
17/11/1992,420.63,418.31,420.97,419.27
16/11/1992,422.44,420.35,422.44,420.68
13/11/1992,422.89,421.04,422.91,422.43
12/11/1992,422.20,421.70,423.10,422.87
11/11/1992,418.61,418.40,422.33,422.20
10/11/1992,418.59,417.98,419.71,418.62
09/11/1992,417.59,416.79,420.13,418.59
06/11/1992,418.35,417.01,418.35,417.58
05/11/1992,417.08,415.58,418.40,418.34
04/11/1992,419.91,416.61,421.07,417.11
03/11/1992,422.75,418.59,422.81,419.92
02/11/1992,418.66,418.12,422.75,422.75
